,Day,Month,Year,Hour,Minute,Seconds,Tweet,Location,Favourite Count,Source of Tweet
15,03,01,2019,02,20,05,b'rt @stmikeshospital: accuracy saves lives: new #glucosemeters going network-wide. see how the #novastatstrip will make a difference  https',"Toronto, Ontario",0,Twitter for iPhone
16,03,01,2019,02,20,04,b'#vitaminc may help patients with metabolic disorders: https://t.co/klvyfhsekj\n\n#diabetes #cardiovascular #microbiome #antioxidants https://t.co/0gi47wnpjq',"Maryland, USA",0,Twitter Web Client
17,03,01,2019,02,18,37,b'rt @liandrizzz: #shaarli: migrating from mysql to mariadb is easy!  https://t.co/pngin1mtea #db #doc #migration #mysql #mariadb',"Manhattan, NY",0,Media_Poster_V_1_0
18,03,01,2019,02,17,27,b'rt @avvenice1: villa sandi joined the avvenice project https://t.co/yjounqkvbv #villasandi #proseccoopere #opere #prosecco #spumante #venet',,0,Twitter Web Client
19,03,01,2019,02,16,56,b'police: alton mom caused daughters death by avoiding diabetes care https://t.co/s51ks1vdyf #diabetes https://t.co/ftcriuldsd',"Lombard, IL",0,Twitter Web Client
20,03,01,2019,02,14,39,"b'fantastic to see countries taking steps to make #food healthier for consumers. \n\ndiets high in #sugar and #salt increase your risk of #diabetes, #cancer and #kidneydisease. https://t.co/5xjxbte7ir'",Australia,1,Twitter Web Client
21,03,01,2019,02,12,57,"b'rt @brodencarl: a large review of 621 studies involving 135,247 patients found ... improvement of diabetes (type 2) in more than 85 percen'","Schenectady, NY",0,Twitter for Android
22,03,01,2019,02,10,18,b'rt @avvenice1: villa sandi joined the avvenice project https://t.co/yjounqkvbv #villasandi #proseccoopere #opere #prosecco #spumante #venet',,0,Twitter Web Client
23,03,01,2019,02,07,04,"b""it's time  for a change. if you are struggling to #loseweight and have type 2 #diabetes, bariatric surgery may be a solution for you.  find out if you are a candidate: https://t.co/4mpoigoeit https://t.co/ovlojhfbft""","San Diego, CA",1,Salesforce - Social Studio
24,03,01,2019,02,06,02,b'rt @avvenice1: villa sandi joined the avvenice project https://t.co/yjounqkvbv #villasandi #proseccoopere #opere #prosecco #spumante #venet',,0,Twitter Web Client
25,03,01,2019,02,05,31,b'rt @mnt: diabetes: drug duo helps body replenish its insulin-producing cells https://t.co/9erqfcp567 @mnt #diabetes #betacells https://t.co',,0,Twitter for Android
26,03,01,2019,02,05,03,"b'i hate admitting that #t1d does stop me. i used to say it might slow me down, but this morning it won...\nhttps://t.co/nfjrqeefec\n\n#diabetes #t1dmightstopme #doc #type1diabetes'","Boston, MA",0,Twitter for Android
27,03,01,2019,02,03,16,b'rt @avvenice1: villa sandi joined the avvenice project https://t.co/yjounqkvbv #villasandi #proseccoopere #opere #prosecco #spumante #venet',,0,Twitter Web Client
28,03,01,2019,02,00,16,b'do you ever have to say this to friends or family? \nconnect with people who know how #diabetes truly impacts our lives on diabetesteam: https://t.co/udvukarxfk https://t.co/vdof7cbxv0',,1,AgoraPulse Manager
29,03,01,2019,01,57,17,b'rt @avvenice1: villa sandi joined the avvenice project https://t.co/yjounqkvbv #villasandi #proseccoopere #opere #prosecco #spumante #venet',,0,Twitter Web Client
30,03,01,2019,01,56,13,b'rt @avvenice1: villa sandi joined the avvenice project https://t.co/yjounqkvbv #villasandi #proseccoopere #opere #prosecco #spumante #venet',,0,Twitter Web Client
31,03,01,2019,01,54,39,"b""diabetes | barbara's story https://t.co/hvm06lnwyv #diabetes""","London, UK",0,Twitter Web Client
32,03,01,2019,01,53,01,"b""rt @oracle: how #oracle's next team is collaborating with a leading #uk surgeon to reduce the need for medical amputation #diabetes #techno""",,0,Twitter for iPhone
33,03,01,2019,01,49,56,b'rt @sciencedirect: insufficient and to a lesser degree prolonged #sleep duration may predispose to type 2 #diabetes and the metabolic syndr',heaven and earth,0,Twitter Web Client
34,03,01,2019,01,47,30,"b'risk of serious trauma with glucose-lowering drugs in older persons and how to prevent it. january 2, 2019 #diabetes #diabetesaccessmatters'",United States,0,IFTTT
35,03,01,2019,01,45,09,b'rt @koiinsulin4all: release: hoosiers with diabetes petition indiana general assembly to study drug pricing\n#insulin4all #inleg #t1d #t2d #',,0,Twitter for iPhone
36,03,01,2019,01,44,02,"b'i had to ditch xdrip+ and go back to dexcom app: #diabetes #dexcom #tandemdiabetes #type1diabetes #dsma well i love xdrip+, its predictions, ability to enter carbs, insulin doses and all the bells and whistles. my samsung galaxy s8 phone, however, hates https://t.co/afu5tbs0wz'",United States,0,dlvr.it
37,03,01,2019,01,38,28,b'rt @avvenice1: villa sandi joined the avvenice project https://t.co/yjounqkvbv #villasandi #proseccoopere #opere #prosecco #spumante #venet',,0,Twitter Web Client
38,03,01,2019,01,36,17,"b'rt @speedfrog66: get this great ebook about ""15 superfoods for diabetics!"" download it all for free here&gt;&gt;&gt;https://t.co/mabydjnxz9 #diabete'","Manhattan, NY",0,Twitter for Android
39,03,01,2019,01,35,04,b'rt @alsgirl: every day i am grateful i have learned how to manage my #type1 #diabetes with #keto.  numbers like this happen on a daily basi',Boston,0,Twitter for iPhone
40,03,01,2019,01,32,58,"b'rt @rogerjdavis1: registration now open for the @embo workshop on ""organ crosstalk in energy balance and metabolic disease"" in cdiz, spain'","San Francisco, CA",0,Twitter for Android
41,03,01,2019,01,32,05,b'rt @diabetesqld: #exercise has been shown to be very effective in lowering blood glucose levels and a great tool to help with #diabetes man',QLD,0,Twitter for iPhone
42,03,01,2019,01,31,53,b'rt @koiinsulin4all: release: hoosiers with diabetes petition indiana general assembly to study drug pricing\n#insulin4all #inleg #t1d #t2d #',,0,Twitter for iPhone
43,03,01,2019,01,30,16,"b'for those looking for inspiration in the new year... look no further!  jane used her diagnosis of type 2 #diabetes to change her life, and starting running at 62 years old! https://t.co/rcxzbqp9tw'",,0,Hootsuite Inc.
44,03,01,2019,01,29,26,b'rt @johnsonthomasmd: he cant pick up his #insulin because of the government shutdown. heres how workers are hurting. - cnbc #diabetes #en',NYU Langone Medical Ctr,0,Twitter for iPhone
45,03,01,2019,01,28,24,b'few people know that diabetes can be prevented and treated naturally. find out more about how regular infusions of this magic herb can help you fight diabetes. #diabetes #type2\n https://t.co/lifrdh6ock',"Berlin, Deutschland",0,FPTraffic
46,03,01,2019,01,25,08,b'rt @obesityfreebody: indian #aaloparath and #dahijalebi are considered as the best #breakfast to keep a #healthy body to fight #obesity #di',Italia,0,Twitter for Android
47,03,01,2019,01,24,09,b'not too bad. trying to take this exercise thing seriously. sunday hike day. #hiking #prediabetes #exercise #h1ac #hemoglobin #diabetes https://t.co/znbjyvcwal',United States,0,Twitter for iPhone
48,03,01,2019,01,23,57,"b'while im on the topic of things we do to make #diabetes and specifically #t1d less scary for our kid, heres some more:'","Athens, OH",1,Echofon
49,03,01,2019,01,22,21,b'rt @johnsonthomasmd: he cant pick up his #insulin because of the government shutdown. heres how workers are hurting. - cnbc #diabetes #en',Washington DC area,0,Twitter Web Client
50,03,01,2019,01,20,07,b'rt @asweetgrace: 2018 insulin - the cost. grace is 16 and has type 1 diabetes. she used 35 vials of novolog in 2018 at a market cost of $10',,0,Twitter for iPhone
51,03,01,2019,01,19,55,b'rt @annualdialysis: our 2018 #visualabstract review:\n\n cardiorenal syndrome #crs\n #obesity &amp; #kidneydisease\n #diabetes &amp; kidney disease',"Cuttack, India",0,Twitter for Android
52,03,01,2019,01,19,11,b'rt @avvenice1: villa sandi joined the avvenice project https://t.co/yjounqkvbv #villasandi #proseccoopere #opere #prosecco #spumante #venet',,0,Twitter Web Client
53,03,01,2019,01,18,30,"b'@american_girl this is not all we do to try and make #diabetes less scary for her, but wow. to see your 5 year-old all nonchalant, pricking fingers, giving shots, giving glucose tabs...it has to make a difference.'","Athens, OH",1,Echofon
54,03,01,2019,01,17,20,"b""@mattsurrency @diabetessocmed how does your son feel about wearing d tech? for mom &amp; dad's peace of mind the dexcom is probably the best, but i get a lot of value out of the trending data on the freestyle libre. see if he can take them both for a trial run :) #hanginthere #doc #t1d""",United States,1,Twitter for Android
55,03,01,2019,01,16,59,"b'rt @annalsofim: if your resolution is to lose weight, @usnews ranks the #mediterranean diet as one of the #bestdiets of 2019. as an added b'",,0,Twitter Web Client
56,03,01,2019,01,16,59,b'rt @m_shoy: touched down in #palmsprings for the california premiere of the #accountantofauschwitz at the palm springs international film f',Palm Springs,0,Twitter for iPhone
57,03,01,2019,01,15,59,b'he cant pick up his #insulin because of the government shutdown. heres how workers are hurting. - cnbc #diabetes #endotwitter  https://t.co/jrofabapae',"Springfield, Missouri",1,Twitter for iPhone
58,03,01,2019,01,15,25,b'rt @mzkazmi: mechanism by which sugar enhances signaling through a cancer-associated pathway and may explain the increased frequency of can',,0,MedEdBot
59,03,01,2019,01,15,22,b'rt @mzkazmi: a wireless and aetifact-free 128-channel neuromodulation device for closed-loop stimulation and recording in non-human primate',,0,MedEdBot
60,03,01,2019,01,14,30,"b'if you have #t2d , these guys can cure you in 3 weeks........or theyre full of crap. im guessing theyre full of crap.  #doc #diabetes https://t.co/gww7f4y2mu'",,0,Instagram
61,03,01,2019,01,08,27,b'rt @alsgirl: every day i am grateful i have learned how to manage my #type1 #diabetes with #keto.  numbers like this happen on a daily basi',,0,Twitter for iPhone
62,03,01,2019,01,08,03,"b'rt @kulikovuniatf: department of finance #philippines announced vat exemption for all medicines and drugs prescribed for #diabetes, high #c'",,0,Twitter for iPhone
63,03,01,2019,01,04,58,"b""roy halladay's #34 on bags, shirts, hoodies, device cases, #stickers &amp; more! #phillies #philadelphia #pennsylvania #bebold #royhalladay #futurehof #halloffame #hof #doc #philly #phillyphilly #baseball #gifts #giftideas #bags https://t.co/bcemudl4ln https://t.co/kiibd0ki5x""","Richardson, TX",0,Twitter Web Client
64,03,01,2019,01,04,14,b'mechanism by which sugar enhances signaling through a cancer-associated pathway and may explain the increased frequency of cancer associated with obesity and diabetes. #jacr #bcsm #hitsm #hpm #btsm #lupus #meded #mmsm #cphc #yamh #dsma #gbdoc #wihi #hcldr  https://t.co/pagv9g2a3b',"Massachusetts, USA",0,Twitter for iPhone
65,03,01,2019,01,02,19,b'a wireless and aetifact-free 128-channel neuromodulation device for closed-loop stimulation and recording in non-human primates | #jacr #bcsm #hitsm #hpm #btsm\n#lupus #meded #mmsm #cphc #yamh #dsma\n#braintumor #gbdoc #wihi #hcldr  https://t.co/e4qeaptrs7',"Massachusetts, USA",0,Twitter for iPhone
66,03,01,2019,01,01,37,b'rt @avvenice1: villa sandi joined the avvenice project https://t.co/yjounqkvbv #villasandi #proseccoopere #opere #prosecco #spumante #venet',,0,Twitter Web Client
67,03,01,2019,01,01,18,"b'at times, i will starve to reduce my insulin needs to ensure i have enough insulin for my child https://t.co/jkgoy6nmas #insulin #diabetes https://t.co/qacbkms5ga'",US,0,The Social Jukebox
68,03,01,2019,01,00,23,b'rt @edforhealth: upgrade your diabetic knowledge and book a place on our practical #diabetes workshop created in conjunction with @diabetes',"Southam, England",0,Twitter for Android
69,03,01,2019,01,00,13,b'#diabetes: drug duo helps body replenish its #insulin-producing cells | @mnt https://t.co/cwvcfh8dfb',"Washington, DC",2,Hootsuite Inc.
70,03,01,2019,01,00,07,"b'vat-free diabetes, hypertension meds starting 2019  dof https://t.co/ini4cvdyr9 via @inquirerdotnet \n\n#askyourdoctor #diabetes #insulin #bloodsugar #cathayyss #cydc #health #wellness #diabetesmanagement #diabetesph'",,0,Hootsuite Inc.
71,03,01,2019,00,57,30,b'rt @keddy_moise: what you use to measure a year dictates how you spend the year. #medicine #diabetes https://t.co/lqu4uxdomr',"Baltimore, Maryland, USA",0,Twitter for iPhone
72,03,01,2019,00,54,24,b'@theotherrosie @zerocarbsarah @dramerling today the number one killer in america is #chronicillness \n\n#obesity #heartdisease #diabetes #insulinresistance #nonalcaholicfattyliverdisease #hypertension #cancer #alzheimers #dementia #depression \n\nnot to forget #chronicpain of #fibromyalgia #arthritis #migraine',"Nova Scotia, Canada",1,Twitter for Android
73,03,01,2019,00,52,02,b'rt @shelleypetersen: the new bi-weekly post from #healthinnovations (@originatehealth)  as requested. another important pathogenesis linked',,0,Twitter for iPhone
74,03,01,2019,00,52,00,b'people often have pre-diabetes b4 developing type 2 #diabetes join us for preventing diabetes class: https://t.co/auqeiextbd',"Northern Virginia, USA",0,TweetDeck
75,03,01,2019,00,51,40,b'rt @alsgirl: every day i am grateful i have learned how to manage my #type1 #diabetes with #keto.  numbers like this happen on a daily basi',Jamaica,0,Twitter for Android
76,03,01,2019,00,49,02,"b'@rosestant70 rosemary, this population would have excellent insulin sensitivity. ie they have metabolic flexibility.majority of my pts have high bp,central adiposity,dyslipidaemia, nafld,elevated bgl/i/hba1c ie they are insulin resistant&amp;eating high cho diet #lchf #lowcarb #diabetes #obesity'","Hawthorne, Brisbane, Australia",0,Twitter for iPhone
77,03,01,2019,00,48,58,b'@geoffkeey @vernonsmall many who eat do not do so willingly with full information as to the tortuous death that follows...  #informedconsent? or...\n\n#man will have #dominion appears to be the mantra for the #despotic #doc #1080masspoisoning of the #whenua \n\nhttps://t.co/mgr0vfftmw \n\n#ban1080',earth = heart #anagram,0,Twitter Web Client
78,03,01,2019,00,47,59,"b'rt @organiclivefood: every 6sec,1 person dies because of #diabetes yet the american diabetic a$$ receives millions of $ from #pepsi/coke ht'",Missouri,0,Twitter for Android
79,03,01,2019,00,47,09,b'can diabetes increase my risk of depression? https://t.co/jplad9t78p #diabetes #in',"Upper West Side, NYC",0,SocialOomph
80,03,01,2019,00,46,35,"b""just helping out for this friday's safety brief. #navy #marines #recon #sarc #doc #military https://t.co/vdgpsnth11""",,0,Instagram
81,03,01,2019,00,44,12,b'every day i am grateful i have learned how to manage my #type1 #diabetes with #keto.  numbers like this happen on a daily basis now. not just once in a while  like a magical unicorn  https://t.co/wag2ttkylj',Idahome,11,Twitter for iPhone
82,03,01,2019,00,43,59,"b'rt @mattsurrency: we are deciding on a continuous glucose monitor. what recommendations, pros and cons do you have? #t1d #diabetes'",Indianapolis area,0,Twitter for iPhone
83,03,01,2019,00,43,29,"b'rt @medscapeendo: mediterranean diet is tops for #diabetes, new report finds. dukan and body reset rank at the bottom. https://t.co/zd43pcj'","Toronto, Ontario",0,Twitter for iPhone
84,03,01,2019,00,41,28,"b'rt @stmikeshospital: designing diets to treat #diabetes. with dr. david jenkins, #ourresearchchangeslives  https://t.co/ztoxynibpk @cahoho'",,0,Twitter Web Client
85,03,01,2019,00,40,21,b'rt @theroctor_md:  2019-could make great progress in getting people away from processed/fast food/added sugars if we would concentrate o',"Sarasota, FL",0,Twitter for iPad
86,03,01,2019,00,39,29,b'rt @avvenice1: villa sandi joined the avvenice project https://t.co/yjounqkvbv #villasandi #proseccoopere #opere #prosecco #spumante #venet',,0,Twitter Web Client
87,03,01,2019,00,39,15,b'rt @theroctor_md:  2019-could make great progress in getting people away from processed/fast food/added sugars if we would concentrate o',United States,0,Twitter Lite
88,03,01,2019,00,37,05,b'rt @theroctor_md:  2019-could make great progress in getting people away from processed/fast food/added sugars if we would concentrate o',"Gulf Shores, AL",0,Twitter for iPhone
89,03,01,2019,00,36,46,"b'rt @organiclivefood: every 6sec,1 person dies because of #diabetes yet the american diabetic a$$ receives millions of $ from #pepsi/coke ht'","Jacksonville,FL",0,Twitter for iPhone
90,03,01,2019,00,36,16,"b'every 6sec,1 person dies because of #diabetes yet the american diabetic a$$ receives millions of $ from #pepsi/coke https://t.co/v6kwiwzcfa'",US,5,IFTTT
91,03,01,2019,00,33,40,"b'start working on your health, self confidence, your summer body at valley. tuesday, 8am, 10am, 5pm or 7pm. #weightloss #healthyeating #slimming #pregnancy #diabetes #childhoodobesity  https://t.co/au2qslipbp'","Tabor Hall, Valley, Anglesey",0,Twitter for iPhone
92,03,01,2019,00,32,52,b'rt @avvenice1: villa sandi joined the avvenice project https://t.co/yjounqkvbv #villasandi #proseccoopere #opere #prosecco #spumante #venet',,0,Twitter Web Client
93,03,01,2019,00,30,49,"b""hearing loss was linked to large increases in a range of other health issues, many of which people didn't think were related to hearing. #jacr #bcsm #hitsm #hpm #btsm\n#lupus #meded #mmsm #cphc #yamh #dsma\n#braintumor #gbdoc #wihi #hcldr https://t.co/up03cyx2gb""","Massachusetts, USA",0,Twitter for iPhone
94,03,01,2019,00,30,30,b'rt @avvenice1: villa sandi joined the avvenice project https://t.co/yjounqkvbv #villasandi #proseccoopere #opere #prosecco #spumante #venet',,0,Twitter Web Client
95,03,01,2019,00,29,39,b'rt @shelleypetersen: the new bi-weekly post from #healthinnovations (@originatehealth)  as requested. another important pathogenesis linked',,0,Twitter for iPhone
96,03,01,2019,00,29,15,"b'@mostrolenk lest we forget: conservatives dogged michelle obama for promoting healthy school lunches and her ""let\'s move!"" initiative.... #diabetes #ruralamerica'",,1,Twitter Web Client
97,03,01,2019,00,28,15,b'shout out to terron who ordered the #oxzgen #cbd sleep  support spray to help him sleep and #captavida #glucose support+ and weight loss formula to help him manage his #a1c level. stay tune for his testimony. \n#diabetes\n#type2diabetes\n#allnatural\n#holishttps://t.co/ddjzjd7igr',"Maryland, USA",0,LinkedIn
98,03,01,2019,00,27,29,b'rt @diabetesrsrch: a little something we wrote recently: the growing cost of type 1 diabetes management https://t.co/azpu0pf4be #diabetes #',"HAWTHORNE, FL",0,Twitter for iPhone
99,03,01,2019,00,26,51,"b'rt @diabetesrsrch: ""cell replacement therapy has come a long way and appears to be an effective path toward treating and potentially curing'","HAWTHORNE, FL",0,Twitter for iPhone
100,03,01,2019,00,26,38,b'rt @avvenice1: villa sandi joined the avvenice project https://t.co/yjounqkvbv #villasandi #proseccoopere #opere #prosecco #spumante #venet',,0,Twitter Web Client
101,03,01,2019,00,25,54,b'if its not one thing its everything else! my thoughts on sick people who dont cover their mouth when coughing. you are welcome\n\n@thenexusforge @smalltwitch @famafiart @twitchretweets\n\n#smallstreamersconnect #scrubsunite #famertr  #teamsalty #streamers #gamers #throatpunch #doc https://t.co/iehdtvnygd',"Texas, USA",2,Twitter for iPhone
102,03,01,2019,00,25,51,"b'rt @healthylivingxy: diabetes information is widespread, but not all of it is true. therefore, this page is supposed to show the top ten of'","Calgary, Alberta",0,Twitter for iPad
103,03,01,2019,00,21,22,"b'rt @ucsffresno: #ucsffresno will hold the first endocrine and diabetes symposium for primary care providers on saturday, feb. 2. up to 7 ho'",,0,Twitter for iPhone
104,03,01,2019,00,20,46,"b'texas: cops mistake mans diabetic shock as resisting, savagely beat him for being unable to comply #amarillo #diabetes  https://t.co/volnikk4rk via @fpptim'","Austin, Texas",0,Twitter Web Client
105,03,01,2019,00,19,19,b'rt @amdiabetesassn: thank you @sgottliebfda for your work to help #makeinsulinaffordable for people with #diabetes! https://t.co/yzxm56irfw',"Los Angeles, CA",0,Twitter for iPhone
106,03,01,2019,00,18,22,"b'diabetes information is widespread, but not all of it is true. therefore, this page is supposed to show the top ten of the most common myths about diabetes. #diabetes #diabetestips\n https://t.co/jxfc56ehfs'","Berlin, Deutschland",0,FPTraffic
107,03,01,2019,00,15,44,b'rt @novagtrcp: thats right im a professional wrestler and i live with type 1 diabetes. but it doesnt stop me dont let it stop you! #dia',United Kingdom,0,Twitter for iPhone
108,03,01,2019,00,12,45,b'rt @endoadvisor: intensive multifactorial #interventions that are implemented in a multi-ethnic population with #type2diabetes led to susta',"Tampico, Tamaulipas",0,Twitter for iPhone
109,03,01,2019,00,08,47,b'rt @koiinsulin4all: release: hoosiers with diabetes petition indiana general assembly to study drug pricing\n#insulin4all #inleg #t1d #t2d #',"Cleveland, OH",0,Twitter for iPhone
110,03,01,2019,00,00,27,b'rt @cwhr_cuanschutz: did you know? the total medical costs and lost work and wages for people with diagnosed #diabetes is $245 billion. vis',"Denver, CO",0,Twitter for Android
111,03,01,2019,00,00,17,b'so ways to #sleep better with #diabetes - get #sleeptracspro #sleep scheduling #weather #drawing #diary https://t.co/tvdtyno1l9 https://t.co/3eiy89yr9c',"Seattle/Bellevue, WA",1,Dropial APP new
112,02,01,2019,23,59,06,b'rt @cwhr_cuanschutz: sex differences matter. learn more about how #heartdisease and #diabetes are treated differently for men and women.\nsc',"Denver, CO",0,Twitter for Android
113,02,01,2019,23,59,03,"b""is that what flavor that's supposed to be? also, no wonder i get gi upset from the art. sweeteners. also raised my bg from 90 to 105.\neach zofran  tablet also contains aspartame, gelatin, mannitol, methylparaben sodium, propylparaben sodium, and strawberry flavor. #diabetes #lada""",Traveling,0,Twitter Web Client
114,02,01,2019,23,55,38,"b'so 12 months ago i was checking blood sugar levels with finger pricks. today it is possible to  constantly display levels on windscreen of car. love the pace, innovation and relevance of the patient led developments in #diabetes tech provision. #dvla https://t.co/yj6mukzsqq'","Newcastle Upon Tyne, England",2,Twitter for Android
115,02,01,2019,23,53,51,b'rt @avvenice1: villa sandi joined the avvenice project https://t.co/yjounqkvbv #villasandi #proseccoopere #opere #prosecco #spumante #venet',,0,Twitter Web Client
116,02,01,2019,23,53,45,b'i want to cry. im not ready to go. #cf #cysticfibrosis #diabetes #chronicpain #endstage #endoflife #dying #iwanttothrivenotjustsurvive',"Prescott, AZ",2,Twitter for iPhone
117,02,01,2019,23,50,05,b'start off your year right by signing up for the ontrack #diabetes weekly #newsletter https://t.co/3ly3jpfr3t https://t.co/sg67lwiwiq',"Montclair, NJ",0,Hootsuite Inc.
118,02,01,2019,23,48,24,b'#reversediabetes now  https://t.co/9ptc6qwlem  fracture risk after initiation of use of canagliflozin: a cohort study  #diabetes #diabetescure',"New Hampshire, USA",0,IFTTT
119,02,01,2019,23,48,01,b'rt @avvenice1: villa sandi joined the avvenice project https://t.co/yjounqkvbv #villasandi #proseccoopere #opere #prosecco #spumante #venet',,0,Twitter Web Client
120,02,01,2019,23,46,04,b'he cant pick up his #insulin because of the government #shutdown. heres how workers are hurting. - cnbc #diabetes  https://t.co/j5ppn8s1lt',New York,0,Twitter for iPhone
121,02,01,2019,23,44,25,b'rt @chronicrights: let our online community embrace you!  follow us @chronicrights \n#health #healthcare #chronicillness #spoonie #diabetes',,0,COPD_bot
122,02,01,2019,23,43,50,"b'they need to focus so they can detect emergencies. but to then insult the dogs handler and her disability, in front of their children no less is absolutely unreal. #servicedogs #guidedogs #seizures #diabetes https://t.co/yypheoaja7'",Nagrand EU,1,Twitter for iPhone
123,02,01,2019,23,42,49,b'rt @aadediabetes: aade has spent the last year working with a variety of stakeholders to build a new vision for the specialty of the #diabe',,0,Twitter for iPhone
124,02,01,2019,23,41,00,"b'patients with type 2 #diabetes might be testing their blood sugar too often, potentially costing the #healthcare system millions.\n\nhttps://t.co/vumd4r3ykb https://t.co/n43eiokstx'","Cranbury, NJ",0,TweetDeck
125,02,01,2019,23,40,27,"b""rt @vicentelozadab: #cancer\n#diabetes\n#lungdisease\n#heartdiseases\n#stroke\n\nthese #noncommunicablediseases are the 's biggest killers, resp""",Ciudad de México ,0,Twitter for Android
126,02,01,2019,23,38,11,b'rt @chronicrights: let our online community embrace you!  follow us @chronicrights \n#health #healthcare #chronicillness #spoonie #diabetes',"Portland, OR",0,DialysisSaves
127,02,01,2019,23,37,19,"b""rt @oracle: how #oracle's next team is collaborating with a leading #uk surgeon to reduce the need for medical amputation #diabetes #techno""","San Francisco, CA",0,Twitter Web Client
128,02,01,2019,23,36,12,b'rt @chronicrights: let our online community embrace you!  follow us @chronicrights \n#health #healthcare #chronicillness #spoonie #diabetes',"North Carolina, USA",0,Twitter for Android
129,02,01,2019,23,33,09,b'rt @avvenice1: villa sandi joined the avvenice project https://t.co/yjounqkvbv #villasandi #proseccoopere #opere #prosecco #spumante #venet',,0,Twitter Web Client
130,02,01,2019,23,29,36,b'rt @johnkennedyohio: another article highlighting the outrageous cost of #insulin. enough is enough. #insulin4all #ohio #t1d #diabetes http',"Cincinnati, OH",0,Twitter for iPhone
131,02,01,2019,23,29,32,b'rt @johnkennedyohio: hoping our continued efforts in #2019 will bring #insulin price transparency to #ohio. no one should die because they',,0,Twitter for iPhone
132,02,01,2019,23,29,28,b'rt @johnkennedyohio: hoping our continued efforts in #2019 will bring #insulin price transparency to #ohio. no one should die because they',"Cincinnati, OH",0,Twitter for iPhone
133,02,01,2019,23,29,16,"b'rt @nhpindia: do you know who are most likely to be affected by #diabetes?\nread below.\nalso, visit: https://t.co/lurjmtssf3\n#swasthabharat'",chennai,0,Twitter for Android
134,02,01,2019,23,29,04,"b""#smoking #shisha #linked to #diabetes and #obesity, study finds' | via @telegraph https://t.co/actr3zrs58""","London, England",0,Twitter for Android
